number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,legacy_alias_if_enabled,test_covered,notes
178,query_module,native-ok,SYS_query_module_x86,sys_query_module,SYS_gettid_generic;SYS_query_module_x86,,yes,native number is wired to matching handler
179,quotactl,native-ok,SYS_quotactl_x86,sys_quotactl,SYS_quotactl_x86;SYS_sysinfo_generic,,yes,native number is wired to matching handler
180,nfsservctl,native-ok,SYS_nfsservctl_x86,sys_nfsservctl,SYS_nfsservctl_x86,,no,native number is wired to matching handler
181,getpmsg,native-ok,SYS_getpmsg_x86,sys_getpmsg,SYS_getpmsg_x86,,no,native number is wired to matching handler
182,putpmsg,native-ok,SYS_putpmsg_x86,sys_putpmsg,SYS_putpmsg_x86,,no,native number is wired to matching handler
183,afs_syscall,native-ok,SYS_afs_syscall_x86,sys_afs_syscall,SYS_afs_syscall_x86,,no,native number is wired to matching handler
184,tuxcall,native-ok,SYS_tuxcall_x86,sys_tuxcall,SYS_tuxcall_x86,,no,native number is wired to matching handler
185,security,native-ok,SYS_security_x86,sys_security,SYS_security_x86,,no,native number is wired to matching handler
186,gettid,native-ok,SYS_gettid_x86,sys_gettid,SYS_gettid_x86,,yes,native number is wired to matching handler
187,readahead,native-ok,SYS_readahead_x86,sys_vfs_readahead,SYS_readahead_x86,,yes,native number is wired to matching handler
188,setxattr,native-ok,SYS_setxattr_x86,sys_vfs_xattr_not_supported,SYS_setxattr_x86,,yes,native number is wired to matching handler
189,lsetxattr,native-ok,SYS_lsetxattr_x86,sys_vfs_xattr_not_supported,SYS_lsetxattr_x86,,no,native number is wired to matching handler
190,fsetxattr,native-ok,SYS_fsetxattr_x86,sys_vfs_xattr_not_supported,SYS_fsetxattr_x86,,no,native number is wired to matching handler
191,getxattr,native-ok,SYS_getxattr_x86,sys_vfs_xattr_not_supported,SYS_getxattr_x86,,yes,native number is wired to matching handler
192,lgetxattr,native-ok,SYS_lgetxattr_x86,sys_vfs_xattr_not_supported,SYS_lgetxattr_x86,,no,native number is wired to matching handler
193,fgetxattr,native-ok,SYS_fgetxattr_x86,sys_vfs_xattr_not_supported,SYS_fgetxattr_x86,,no,native number is wired to matching handler
194,listxattr,native-ok,SYS_listxattr_x86,sys_vfs_xattr_not_supported,SYS_listxattr_x86,,yes,native number is wired to matching handler
195,llistxattr,native-ok,SYS_llistxattr_x86,sys_vfs_xattr_not_supported,SYS_llistxattr_x86,,no,native number is wired to matching handler
196,flistxattr,native-ok,SYS_flistxattr_x86,sys_vfs_xattr_not_supported,SYS_flistxattr_x86,,no,native number is wired to matching handler
197,removexattr,native-ok,SYS_removexattr_x86,sys_vfs_xattr_not_supported,SYS_removexattr_x86,,yes,native number is wired to matching handler
198,lremovexattr,native-ok,SYS_lremovexattr_x86,sys_vfs_xattr_not_supported,SYS_lremovexattr_x86,,no,native number is wired to matching handler
199,fremovexattr,native-ok,SYS_fremovexattr_x86,sys_vfs_xattr_not_supported,SYS_fremovexattr_x86,,no,native number is wired to matching handler
200,tkill,native-ok,SYS_tkill_x86,sys_tkill,SYS_tkill_x86,,no,native number is wired to matching handler
201,time,native-ok,SYS_time_x86,sys_time,SYS_time_x86,,yes,native number is wired to matching handler
202,futex,native-ok,SYS_futex_x86,sys_futex,SYS_futex_x86,,no,native number is wired to matching handler
203,sched_setaffinity,native-ok,SYS_sched_setaffinity_x86,sys_sched_setaffinity,SYS_sched_setaffinity_x86,,yes,native number is wired to matching handler
204,sched_getaffinity,native-ok,SYS_sched_getaffinity_x86,sys_sched_getaffinity,SYS_sched_getaffinity_x86,,yes,native number is wired to matching handler
205,set_thread_area,native-ok,SYS_set_thread_area_x86,sys_set_thread_area,SYS_set_thread_area_x86,,no,native number is wired to matching handler
206,io_setup,native-ok,SYS_io_setup_x86,sys_io_setup,SYS_io_setup_x86,,no,native number is wired to matching handler
207,io_destroy,native-ok,SYS_io_destroy_x86,sys_io_destroy,SYS_io_destroy_x86,,no,native number is wired to matching handler
208,io_getevents,native-ok,SYS_io_getevents_x86,sys_io_getevents,SYS_io_getevents_x86,,no,native number is wired to matching handler
209,io_submit,native-ok,SYS_io_submit_x86,sys_io_submit,SYS_io_submit_x86,,no,native number is wired to matching handler
210,io_cancel,native-ok,SYS_io_cancel_x86,sys_io_cancel,SYS_io_cancel_x86,,no,native number is wired to matching handler
211,get_thread_area,native-ok,SYS_get_thread_area_x86,sys_get_thread_area,SYS_get_thread_area_x86,,no,native number is wired to matching handler
212,lookup_dcookie,native-ok,SYS_lookup_dcookie_x86,sys_lookup_dcookie,SYS_lookup_dcookie_x86,,no,native number is wired to matching handler
213,epoll_create,native-ok,SYS_epoll_create,sys_epoll_create,SYS_epoll_create,,no,native number is wired to matching handler
214,epoll_ctl_old,native-ok,SYS_epoll_ctl_old_x86,sys_epoll_ctl_old,SYS_brk_generic;SYS_epoll_ctl_old_x86,,yes,native number is wired to matching handler
215,epoll_wait_old,native-ok,SYS_epoll_wait_old_x86,sys_epoll_wait_old,SYS_epoll_wait_old_x86;SYS_munmap_generic,,yes,native number is wired to matching handler
216,remap_file_pages,native-ok,SYS_remap_file_pages_x86,sys_remap_file_pages,SYS_mremap_generic;SYS_remap_file_pages_x86,,yes,native number is wired to matching handler
217,getdents64,struct-risk,SYS_getdents64_x86,sys_getdents,SYS_getdents64_x86,,yes,native number is wired; audit structs/flags/semantics
218,set_tid_address,native-ok,SYS_set_tid_address_x86,sys_set_tid_address,SYS_set_tid_address_x86,,yes,native number is wired to matching handler
219,restart_syscall,native-ok,SYS_restart_syscall_x86,sys_restart_syscall,SYS_restart_syscall_x86,,no,native number is wired to matching handler
220,semtimedop,native-ok,SYS_semtimedop_x86,sys_semtimedop,SYS_semtimedop_x86,,no,native number is wired to matching handler
221,fadvise64,native-ok,SYS_fadvise64_x86,sys_fadvise64,SYS_fadvise64_x86,,no,native number is wired to matching handler
222,timer_create,native-ok,SYS_timer_create_x86,sys_timer_create,SYS_mmap_generic;SYS_timer_create_x86,,yes,native number is wired to matching handler
223,timer_settime,native-ok,SYS_timer_settime_x86,sys_timer_settime,SYS_timer_settime_x86,,no,native number is wired to matching handler
224,timer_gettime,native-ok,SYS_timer_gettime_x86,sys_timer_gettime,SYS_timer_gettime_x86,,no,native number is wired to matching handler
225,timer_getoverrun,native-ok,SYS_timer_getoverrun_x86,sys_timer_getoverrun,SYS_timer_getoverrun_x86,,no,native number is wired to matching handler
226,timer_delete,native-ok,SYS_timer_delete_x86,sys_timer_delete,SYS_mprotect_generic;SYS_timer_delete_x86,,no,native number is wired to matching handler
227,clock_settime,native-ok,SYS_clock_settime_x86,sys_clock_settime,SYS_clock_settime_x86;SYS_msync_generic,,yes,native number is wired to matching handler
228,clock_gettime,native-ok,SYS_clock_gettime_x86,sys_clock_gettime,SYS_clock_gettime_x86;SYS_mlock_generic,,yes,native number is wired to matching handler
229,clock_getres,native-ok,SYS_clock_getres_x86,sys_clock_getres,SYS_clock_getres_x86;SYS_munlock_generic,,yes,native number is wired to matching handler
230,clock_nanosleep,native-ok,SYS_clock_nanosleep_x86,sys_clock_nanosleep,SYS_clock_nanosleep_x86;SYS_mlockall_generic,,yes,native number is wired to matching handler
